code;name;code_koatuu;name_koatuu;openbudget_id;comment
18205100000;Охтирка;5910200000;ОХТИРКА;
14203100000;Очаків;4810300000;ОЧАКІВ;
04210100000;Павлоград;1212400000;ПАВЛОГРАД;
14204100000;Первомайськ (Миколаївська обл.);4810400000;ПЕРВОМАЙСЬК;
20206100000;Первомайський;6311500000;ПЕРВОМАЙСЬКИЙ;
10207100000;Переяслав-Хмельницький;3211000000;ПЕРЕЯСЛАВ-ХМЕЛЬНИЦЬКИЙ;
04211100000;Першотравенськ;1212600000;ПЕРШОТРАВЕНСЬК;
16201100000;Полтава;5310100000;;
25203100000;Прилуки;7410700000;ПРИЛУКИ;
17201100000;Рiвне;5610100000;РІВНЕ;
10208100000;Ржищів;3211300000;РЖИЩІВ;
18206100000;Ромни;5910700000;РОМНИ;
12211100000;Рубіжне;4412500000;РУБІЖНЕ;
13206100000;Самбір;4610900000;САМБІР;
11204100000;Світловодськ;3510900000;СВІТЛОВОДСЬК;
05222100000;Селидове;1413800000;СЕЛИДОВЕ;
12213100000;Сєверодонецьк;4412900000;;
04212100000;Синельникове;1213000000;СИНЕЛЬНИКОВЕ;
22204100000;Славута;6810600000;СЛАВУТА;
10209100000;Славутич;3211500000;СЛАВУТИЧ;
05223100000;Слов'янськ;1414100000;СЛОВ'ЯНСЬК;
23205100000;Смiла;7110500000;;
22205100000;Старокостянтинів;6810800000;СТАРОКОСТЯНТИНІВ;
13207100000;Стрий;4611200000;СТРИЙ;
18201100000;Суми;5910100000;;
15206100000;Теплодар;5111500000;ТЕПЛОДАР;
04213100000;Тернівка;1213500000;ТЕРНІВКА;
19201100000;Тернопіль;6110100000;ТЕРНОПІЛЬ;
08205100000;Токмак;2311000000;ТОКМАК;
13208100000;Трускавець;4611500000;ТРУСКАВЕЦЬ;
07201100000;Ужгород;2110100000;УЖГОРОД;
23206100000;Умань;7110800000;УМАНЬ;
10210100000;Фастiв;3211200000;ФАСТІВ;
20201100000;Харків;6310100000;;
21201100000;Херсон;6510100000;;
22201100000;Хмельницький;6810100000;ХМЕЛЬНИЦЬКИЙ;
02206100000;Хмільник;510900000;ХМІЛЬНИК;
07204100000;Хуст;2110800000;ХУСТ;
13209100000;Червоноград;4611800000;;
23201100000;Черкаси;7110100000;;
24201100000;Чернівці;7310100000;;
25201100000;Чернігів;7410100000;;
07205100000;Чоп;2111000000;ЧОП;
19202100000;Чортків;6110300000;ЧОРТКІВ;
20207100000;Чугуїв;6312000000;ЧУГУЇВ;
22206100000;Шепетiвка;6810700000;ШЕПЕТІВКА;
18207100000;Шостка;5911000000;ШОСТКА;
15207100000;Южне;5111700000;ЮЖНЕ;
14205100000;Южноукраїнськ;4810800000;ЮЖНОУКРАЇНСЬК;
09205100000;Яремче;2611000000;ЯРЕМЧЕ;
02100000000;Обласний бюджет Вінницької області;500000000;ВІННИЦЬКА ОБЛАСТЬ/М.ВІННИЦЯ;55a807946b61730709600400
03100000000;Обласний бюджет Волинської області;700000000;ВОЛИНСЬКА ОБЛАСТЬ/М.ЛУЦЬК;55a807a06b61730709820b00
04100000000;Обласний бюджет Дніпропетровської області;1200000000;ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРОПЕТРОВСЬК;55a807aa6b61730709971000
05100000000;Обласний бюджет Донецької області;1400000000;ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК;55a807b66b61730709e01400
06100000000;Обласний бюджет Житомирської  області;1800000000;ЖИТОМИРСЬКА ОБЛАСТЬ/М.ЖИТОМИР;55a807c26b61730709831800
07100000000;Обласний бюджет Закарпатської області;2100000000;ЗАКАРПАТСЬКА ОБЛАСТЬ/М.УЖГОРОД;55a807d46b61730709e31e00
08100000000;Обласний бюджет Запорізької області;2300000000;ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ;55a807dd6b61730709232200
09100000000;Обласний бюджет Івано-Франківської області;2600000000;ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ/М.ІВАНО-ФРАНКІВСЬК;55a807e76b617307095e2400
10100000000;Обласний бюджет Київської області;3200000000;КИЇВСЬКА ОБЛАСТЬ/М.КИЇВ;55a807f36b61730709702800
11100000000;Обласний бюджет Кіровоградської області;3500000000;КІРОВОГРАДСЬКА ОБЛАСТЬ/М.КІРОВОГРАД;
12100000000;Обласний бюджет Луганської області;4400000000;ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК;
13100000000;Обласний бюджет Львівської  області;4600000000;ЛЬВІВСЬКА ОБЛАСТЬ/М.ЛЬВІВ;
14100000000;Обласний бюджет Миколаївської області;4800000000;МИКОЛАЇВСЬКА ОБЛАСТЬ/М.МИКОЛАЇВ;
15100000000;Обласний бюджет Одеської області;5100000000;ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА;
16100000000;Обласний бюджет Полтавської області;5300000000;ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА;
17100000000;Обласний бюджет Рівненської області;5600000000;РІВНЕНСЬКА ОБЛАСТЬ/М.РІВНЕ;
18100000000;Обласний бюджет Сумської області;5900000000;СУМСЬКА ОБЛАСТЬ/М.СУМИ;
19100000000;Обласний бюджет Тернопільської області;6100000000;ТЕРНОПІЛЬСЬКА ОБЛАСТЬ/М.ТЕРНОПІЛЬ;
20100000000;Обласний бюджет Харківської області;6300000000;ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ;
21100000000;Обласний бюджет Херсонської області;6500000000;ХЕРСОНСЬКА ОБЛАСТЬ/М.ХЕРСОН;
22100000000;Обласний бюджет Хмельницької області;6800000000;ХМЕЛЬНИЦЬКА ОБЛАСТЬ/М.ХМЕЛЬНИЦЬКИЙ;
23100000000;Обласний бюджет Черкаської області;7100000000;ЧЕРКАСЬКА ОБЛАСТЬ/М.ЧЕРКАСИ;
24100000000;Обласний бюджет Чернівецької області;7300000000;ЧЕРНІВЕЦЬКА ОБЛАСТЬ/М.ЧЕРНІВЦІ;
25100000000;Обласний бюджет Чернігівської області;7400000000;ЧЕРНІГІВСЬКА ОБЛАСТЬ/М.ЧЕРНІГІВ;
